                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.599,                0.88494,                 1.2263,                 0.9375,                0.93908,                0.95018,                0.56031,                 1.3612,                0.78828,                 1.2054,              0.0016634,              0.0016634,              0.0016634
                     36,                 1.5353,                0.87991,                 1.2018,                0.95259,                0.95026,                0.96006,                0.55455,                 1.3643,                0.87888,                 1.1912,              0.0016535,              0.0016535,              0.0016535
                     37,                 1.4994,                0.88515,                  1.201,                0.94691,                0.94768,                0.96034,                0.55306,                 1.4238,                0.83885,                  1.182,              0.0016436,              0.0016436,              0.0016436
                     38,                   1.48,                0.86329,                 1.1831,                0.93617,                0.94346,                0.95531,                0.58796,                 1.3279,                0.78511,                 1.1837,              0.0016337,              0.0016337,              0.0016337
                     39,                  1.486,                0.86123,                 1.1934,                0.94881,                0.96312,                0.96087,                0.58575,                 1.3222,                0.88589,                  1.182,              0.0016238,              0.0016238,              0.0016238
                     40,                 1.4576,                0.84525,                 1.1711,                0.96454,                0.95626,                0.96617,                0.63128,                  1.243,                0.76876,                 1.1354,              0.0016139,              0.0016139,              0.0016139
                     41,                 1.4794,                0.83389,                 1.1748,                0.96571,                 0.9554,                0.96441,                 0.6283,                 1.2205,                0.72663,                 1.1319,               0.001604,               0.001604,               0.001604
                     42,                 1.4708,                  0.813,                 1.1539,                0.96102,                0.96484,                0.96509,                0.58335,                 1.2974,                0.71184,                 1.1628,              0.0015941,              0.0015941,              0.0015941
                     43,                 1.4472,                0.82395,                  1.158,                0.96451,                0.95558,                0.96378,                0.58413,                 1.2868,                0.79034,                 1.1511,              0.0015842,              0.0015842,              0.0015842
                     44,                 1.4459,                0.81916,                 1.1588,                0.96424,                0.94826,                0.96195,                0.57388,                 1.4376,                0.78783,                 1.1979,              0.0015743,              0.0015743,              0.0015743
                     45,                 1.4869,                0.82547,                   1.17,                0.96239,                0.96549,                0.97214,                0.62095,                 1.1903,                 0.7046,                 1.1237,              0.0015644,              0.0015644,              0.0015644
                     46,                 1.4204,                0.79852,                 1.1478,                0.95367,                0.95328,                0.95471,                0.55967,                 1.3848,                0.76179,                 1.1811,              0.0015545,              0.0015545,              0.0015545
                     47,                 1.4428,                0.80806,                 1.1554,                0.95738,                0.96335,                0.96616,                0.54327,                  1.368,                0.72455,                 1.2072,              0.0015446,              0.0015446,              0.0015446
                     48,                 1.3801,                0.77432,                 1.1434,                0.96203,                0.97084,                0.97002,                 0.6384,                 1.1666,                0.65279,                 1.1058,              0.0015347,              0.0015347,              0.0015347
                     49,                 1.4262,                0.76468,                 1.1441,                0.96338,                0.95969,                0.96402,                0.61354,                 1.2363,                0.69876,                 1.1275,              0.0015248,              0.0015248,              0.0015248
                     50,                  1.403,                0.79984,                 1.1503,                0.95316,                0.96741,                0.97119,                0.60836,                 1.2467,                0.72726,                 1.1268,              0.0015149,              0.0015149,              0.0015149
                     51,                 1.4133,                0.77916,                 1.1633,                0.96804,                0.96827,                0.97096,                0.64181,                 1.1491,                0.68601,                 1.1072,               0.001505,               0.001505,               0.001505
                     52,                 1.4321,                0.79271,                 1.1525,                0.96587,                0.97091,                 0.9706,                 0.5857,                 1.2784,                0.75785,                 1.1267,              0.0014951,              0.0014951,              0.0014951
                     53,                  1.351,                0.75072,                 1.1277,                 0.9643,                0.97292,                0.96944,                0.62366,                 1.3006,                0.68013,                 1.1201,              0.0014852,              0.0014852,              0.0014852
                     54,                 1.3466,                 0.7438,                  1.142,                0.95804,                0.95945,                 0.9638,                0.62597,                  1.233,                0.68682,                 1.1124,              0.0014753,              0.0014753,              0.0014753
                     55,                 1.3799,                0.74378,                 1.1217,                0.96091,                0.95883,                0.96465,                 0.6421,                 1.2021,                0.69403,                 1.1073,              0.0014654,              0.0014654,              0.0014654
                     56,                 1.3875,                0.76313,                 1.1326,                0.95597,                0.96818,                0.96749,                 0.5861,                 1.2769,                0.70877,                  1.113,              0.0014555,              0.0014555,              0.0014555
                     57,                 1.3575,                0.74688,                 1.1207,                 0.9615,                0.96484,                0.96685,                0.64475,                 1.1662,                0.67423,                 1.0985,              0.0014456,              0.0014456,              0.0014456
                     58,                 1.3022,                  0.746,                 1.1119,                0.96111,                0.96827,                0.96895,                0.61481,                 1.2216,                0.64116,                 1.1117,              0.0014357,              0.0014357,              0.0014357
                     59,                 1.3594,                0.75237,                 1.1174,                0.95757,                 0.9677,                0.97061,                0.66445,                 1.1773,                0.67344,                 1.1047,              0.0014258,              0.0014258,              0.0014258
                     60,                 1.3176,                0.72988,                 1.1081,                 0.9657,                0.96741,                0.96993,                0.63272,                 1.1307,                0.64032,                 1.1035,              0.0014159,              0.0014159,              0.0014159
                     61,                 1.3343,                0.73984,                 1.1059,                 0.9617,                0.96312,                0.96774,                0.61202,                 1.2767,                 0.7155,                 1.1112,               0.001406,               0.001406,               0.001406
                     62,                 1.2921,                0.71587,                 1.0905,                0.96087,                0.96869,                0.96612,                0.55425,                  1.384,                0.68091,                 1.1495,              0.0013961,              0.0013961,              0.0013961
                     63,                 1.3575,                0.72562,                 1.0975,                0.96736,                0.96587,                0.96501,                0.66966,                  1.103,                0.61103,                  1.068,              0.0013862,              0.0013862,              0.0013862
                     64,                 1.3294,                0.71719,                 1.0878,                0.96432,                0.96055,                0.96427,                0.62221,                 1.1787,                0.64765,                 1.1204,              0.0013763,              0.0013763,              0.0013763
                     65,                 1.3358,                0.75407,                 1.1284,                0.96679,                0.97427,                0.97052,                0.66042,                 1.1389,                0.62967,                 1.0789,              0.0013664,              0.0013664,              0.0013664
                     66,                 1.3767,                0.73532,                 1.1215,                0.94996,                0.96054,                0.96208,                0.64232,                 1.1705,                0.64363,                 1.1037,              0.0013565,              0.0013565,              0.0013565
                     67,                  1.291,                0.73654,                 1.0794,                 0.9641,                0.96055,                0.96969,                 0.6756,                 1.0775,                0.61866,                 1.0853,              0.0013466,              0.0013466,              0.0013466
                     68,                 1.2709,                0.71627,                  1.077,                0.96716,                0.96913,                0.97337,                0.67871,                 1.0368,                 0.6076,                 1.0569,              0.0013367,              0.0013367,              0.0013367
                     69,                 1.2326,                0.69013,                 1.0663,                 0.9688,                 0.9717,                   0.97,                0.66349,                 1.1232,                0.60917,                 1.0813,              0.0013268,              0.0013268,              0.0013268
                     70,                 1.2286,                0.68454,                 1.0857,                0.96415,                0.96887,                0.97174,                0.66685,                 1.1005,                0.61291,                  1.073,              0.0013169,              0.0013169,              0.0013169
                     71,                 1.2408,                0.68146,                 1.0742,                0.96662,                0.97513,                0.97188,                 0.6876,                 1.0571,                0.60136,                 1.0598,               0.001307,               0.001307,               0.001307
                     72,                 1.2326,                0.67719,                 1.0604,                0.95701,                0.97684,                0.97157,                0.67067,                 1.0788,                0.60439,                 1.0549,              0.0012971,              0.0012971,              0.0012971
                     73,                 1.2612,                 0.6776,                 1.0784,                0.96726,                0.97599,                  0.973,                0.61261,                 1.2709,                 0.6612,                 1.1098,              0.0012872,              0.0012872,              0.0012872
                     74,                 1.2422,                0.68233,                 1.0755,                0.96624,                0.96398,                0.97059,                 0.6718,                 1.0744,                0.60262,                 1.0702,              0.0012773,              0.0012773,              0.0012773
                     75,                  1.233,                0.66861,                 1.0546,                0.97328,                0.97341,                0.97417,                0.69698,                 1.0306,                0.60017,                 1.0506,              0.0012674,              0.0012674,              0.0012674
                     76,                 1.2338,                0.68528,                 1.0737,                 0.9611,                0.97599,                0.97045,                0.67112,                 1.0937,                0.59227,                  1.071,              0.0012575,              0.0012575,              0.0012575
                     77,                 1.2248,                0.65971,                 1.0598,                0.96403,                0.97256,                0.97292,                0.68078,                 1.0331,                0.58937,                 1.0484,              0.0012476,              0.0012476,              0.0012476
                     78,                 1.1878,                0.65819,                 1.0643,                0.96919,                0.97599,                0.97451,                0.68761,                 1.0355,                 0.5786,                 1.0472,              0.0012377,              0.0012377,              0.0012377
                     79,                 1.2591,                0.68118,                 1.0566,                0.97516,                0.97648,                0.97426,                0.66609,                  1.071,                0.57593,                 1.0557,              0.0012278,              0.0012278,              0.0012278
                     80,                 1.2206,                0.65808,                 1.0597,                0.97178,                0.97456,                0.97394,                0.67991,                 1.0987,                0.59607,                 1.0636,              0.0012179,              0.0012179,              0.0012179
                     81,                 1.2854,                0.68847,                  1.089,                0.96497,                0.96741,                0.96888,                 0.6511,                 1.1093,                0.61246,                 1.0725,               0.001208,               0.001208,               0.001208
                     82,                 1.2629,                0.66164,                 1.0694,                0.96421,                0.97045,                0.96757,                0.63375,                 1.1574,                0.61749,                 1.0936,              0.0011981,              0.0011981,              0.0011981
                     83,                 1.2886,                  0.681,                 1.0753,                0.96925,                0.97324,                0.97151,                 0.6152,                 1.2331,                0.62204,                 1.0779,              0.0011882,              0.0011882,              0.0011882
                     84,                 1.2679,                0.66684,                 1.0617,                0.97098,                0.97552,                0.97381,                0.68419,                 1.0504,                0.55715,                 1.0578,              0.0011783,              0.0011783,              0.0011783
                     85,                 1.2061,                0.65513,                  1.054,                0.97069,                0.97427,                0.97513,                0.67075,                 1.0609,                0.58455,                 1.0526,              0.0011684,              0.0011684,              0.0011684
                     86,                 1.2379,                0.65938,                 1.0601,                0.96544,                0.97427,                0.97496,                0.69143,                 1.0574,                0.57561,                 1.0373,              0.0011585,              0.0011585,              0.0011585
                     87,                 1.2101,                0.65855,                 1.0357,                0.96937,                0.97706,                0.97277,                0.67904,                 1.0889,                0.61601,                 1.0467,              0.0011486,              0.0011486,              0.0011486
                     88,                 1.1956,                0.66166,                 1.0523,                0.97467,                0.97256,                0.97482,                0.68514,                 1.0256,                 0.5688,                 1.0494,              0.0011387,              0.0011387,              0.0011387
                     89,                 1.1829,                0.65195,                 1.0502,                0.97348,                 0.9717,                0.97379,                0.66194,                 1.1465,                0.60234,                 1.0564,              0.0011288,              0.0011288,              0.0011288
