                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    148,                 1.0691,                0.57042,                0.99335,                0.97752,                0.97856,                0.97659,                 0.7394,                0.87214,                0.49678,                0.98354,              0.0005447,              0.0005447,              0.0005447
                    149,                 1.0414,                 0.5725,                0.99453,                0.97553,                0.98027,                0.97955,                0.74014,                0.88078,                0.49247,                0.98904,              0.0005348,              0.0005348,              0.0005348
                    150,                0.99826,                0.56216,                0.98418,                0.97941,                0.98027,                0.97637,                0.74379,                0.87561,                0.48121,                0.98688,              0.0005249,              0.0005249,              0.0005249
                    151,                 1.0322,                0.56896,                0.99161,                0.97631,                0.98027,                0.97913,                0.73096,                0.92967,                0.50462,                 1.0022,               0.000515,               0.000515,               0.000515
                    152,                 1.0526,                0.57854,                 0.9908,                0.97925,                 0.9777,                0.97899,                0.76422,                0.86159,                0.47438,                0.98255,              0.0005051,              0.0005051,              0.0005051
                    153,                 1.0415,                0.56083,                0.97874,                0.97485,                0.98027,                0.97658,                0.74054,                 0.8693,                0.47726,                0.98063,              0.0004952,              0.0004952,              0.0004952
                    154,                 1.0158,                0.55443,                0.97642,                0.97767,                0.97632,                0.97917,                0.75134,                 0.8553,                0.46887,                0.98485,              0.0004853,              0.0004853,              0.0004853
                    155,                 1.0283,                0.56727,                 0.9773,                0.97931,                0.97942,                0.97817,                0.76723,                0.84056,                 0.4729,                0.98003,              0.0004754,              0.0004754,              0.0004754
                    156,                0.97509,                0.51742,                0.96303,                0.97854,                0.97765,                0.97903,                0.76055,                0.86545,                0.48733,                0.98418,              0.0004655,              0.0004655,              0.0004655
                    157,                0.98364,                0.54171,                0.96938,                0.97743,                0.98027,                0.97874,                0.76576,                0.85857,                0.46672,                0.99301,              0.0004556,              0.0004556,              0.0004556
                    158,                 1.0088,                 0.5526,                0.97222,                0.97944,                0.98058,                0.97895,                0.76609,                0.85826,                 0.4696,                0.98644,              0.0004457,              0.0004457,              0.0004457
                    159,                  1.031,                0.56343,                0.99182,                0.97848,                0.98113,                0.97987,                0.76747,                0.83017,                  0.467,                0.97811,              0.0004358,              0.0004358,              0.0004358
                    160,                 1.0068,                0.54176,                0.98007,                0.97856,                0.97879,                0.97784,                0.76488,                0.85913,                0.47588,                0.98085,              0.0004259,              0.0004259,              0.0004259
                    161,                  1.003,                0.52433,                 0.9738,                 0.9769,                0.97917,                0.97851,                0.75899,                0.86332,                0.47137,                 0.9801,               0.000416,               0.000416,               0.000416
                    162,                 1.0131,                0.53806,                0.98347,                0.97853,                0.97707,                0.97761,                0.75108,                0.82299,                0.47452,                0.98211,              0.0004061,              0.0004061,              0.0004061
                    163,                 0.9821,                0.54643,                0.97203,                0.97938,                0.97769,                0.97877,                  0.753,                0.82489,                0.47396,                0.98146,              0.0003962,              0.0003962,              0.0003962
                    164,                0.98846,                0.55222,                 0.9747,                0.98026,                0.97958,                0.97911,                0.77028,                0.82053,                0.46768,                 0.9761,              0.0003863,              0.0003863,              0.0003863
                    165,                0.99778,                0.54583,                0.98193,                0.97816,                0.97684,                0.97912,                0.76654,                0.84777,                0.47862,                0.97983,              0.0003764,              0.0003764,              0.0003764
                    166,                 0.9972,                0.53767,                 0.9724,                 0.9795,                0.97856,                 0.9798,                 0.7598,                0.81127,                0.46628,                 0.9779,              0.0003665,              0.0003665,              0.0003665
                    167,                 0.9993,                0.52295,                 0.9726,                0.97691,                0.97982,                 0.9784,                0.76681,                0.81728,                0.46369,                 0.9737,              0.0003566,              0.0003566,              0.0003566
                    168,                0.96309,                0.53472,                0.97191,                  0.979,                0.97942,                0.97886,                0.76949,                0.82676,                0.47241,                0.97818,              0.0003467,              0.0003467,              0.0003467
                    169,                0.96912,                 0.5312,                 0.9655,                0.97728,                0.98027,                 0.9784,                0.77628,                0.80026,                0.46411,                0.96941,              0.0003368,              0.0003368,              0.0003368
                    170,                0.92956,                0.52728,                0.97329,                0.97608,                0.97997,                0.97833,                0.77392,                0.79989,                0.45956,                0.96977,              0.0003269,              0.0003269,              0.0003269
                    171,                0.99984,                0.55279,                0.98869,                0.97853,                0.98027,                0.97802,                 0.7556,                0.82418,                0.46618,                0.97507,               0.000317,               0.000317,               0.000317
                    172,                0.99023,                0.53117,                0.97165,                0.97977,                0.98199,                0.98003,                0.77454,                 0.8485,                0.47088,                0.98379,              0.0003071,              0.0003071,              0.0003071
                    173,                0.95596,                0.53272,                0.96826,                0.97818,                0.98113,                 0.9784,                0.77835,                0.78945,                0.45538,                0.96992,              0.0002972,              0.0002972,              0.0002972
                    174,                 0.9836,                0.53356,                 0.9649,                0.97607,                0.97929,                0.97604,                0.77325,                0.82121,                0.46221,                0.97508,              0.0002873,              0.0002873,              0.0002873
                    175,                0.97416,                0.53561,                0.97348,                 0.9782,                0.98027,                0.97935,                0.75252,                0.83817,                0.49149,                 0.9722,              0.0002774,              0.0002774,              0.0002774
                    176,                 1.0098,                0.53314,                0.97219,                0.97901,                0.98199,                0.97995,                0.77564,                0.80801,                0.45953,                0.97243,              0.0002675,              0.0002675,              0.0002675
                    177,                0.95321,                0.51563,                0.96368,                0.97907,                0.98199,                0.98012,                0.76918,                0.81236,                0.46472,                0.97019,              0.0002576,              0.0002576,              0.0002576
                    178,                0.95341,                0.52654,                0.96194,                0.97942,                0.97949,                 0.9774,                0.76723,                0.79409,                0.46292,                0.96771,              0.0002477,              0.0002477,              0.0002477
                    179,                0.91497,                0.51392,                0.95013,                0.97862,                0.98156,                0.97801,                0.76425,                0.81232,                0.46203,                0.97368,              0.0002378,              0.0002378,              0.0002378
                    180,                0.96837,                0.52348,                0.96399,                0.97859,                0.97942,                0.97891,                0.78274,                0.79968,                0.46171,                0.96751,              0.0002279,              0.0002279,              0.0002279
                    181,                0.97384,                0.52286,                0.96323,                0.98048,                0.97942,                0.97982,                0.77978,                0.79578,                0.45587,                0.96708,               0.000218,               0.000218,               0.000218
                    182,                0.95885,                0.52217,                0.96629,                0.97991,                0.97942,                0.98032,                0.77963,                0.79435,                0.45985,                 0.9694,              0.0002081,              0.0002081,              0.0002081
                    183,                0.96869,                0.54049,                0.97888,                0.97858,                0.97975,                0.97816,                0.77296,                0.79359,                0.45855,                 0.9699,              0.0001982,              0.0001982,              0.0001982
                    184,                0.97877,                0.52855,                0.97101,                0.98112,                0.98062,                0.97835,                0.77074,                0.80441,                 0.4619,                0.96857,              0.0001883,              0.0001883,              0.0001883
                    185,                0.93558,                0.51422,                0.96426,                0.97882,                0.98027,                0.97728,                0.78461,                0.77107,                 0.4519,                0.96543,              0.0001784,              0.0001784,              0.0001784
                    186,                0.94272,                0.51949,                0.95592,                0.97943,                0.98199,                0.97976,                0.77297,                0.80093,                0.44688,                0.97483,              0.0001685,              0.0001685,              0.0001685
                    187,                0.93085,                0.50478,                0.96365,                0.97926,                0.98027,                0.97865,                0.78371,                0.78777,                0.46088,                 0.9702,              0.0001586,              0.0001586,              0.0001586
                    188,                0.93834,                0.52234,                0.95915,                0.97995,                0.98027,                0.97971,                 0.7838,                0.78225,                0.45269,                 0.9668,              0.0001487,              0.0001487,              0.0001487
                    189,                0.91676,                0.50931,                0.94278,                0.97891,                0.98027,                0.97996,                0.78555,                0.75815,                0.44544,                0.96269,              0.0001388,              0.0001388,              0.0001388
                    190,                0.91384,                0.49786,                0.95587,                0.98028,                0.98064,                0.98025,                 0.7826,                0.77331,                0.45025,                0.96808,              0.0001289,              0.0001289,              0.0001289
                    191,                0.97947,                0.54068,                0.99498,                0.97939,                0.98027,                 0.9796,                0.78036,                0.81276,                0.45737,                0.96845,               0.000119,               0.000119,               0.000119
                    192,                0.94196,                0.51396,                0.98172,                 0.9778,                0.98221,                0.97973,                0.76402,                0.80046,                0.45403,                0.95942,              0.0001091,              0.0001091,              0.0001091
                    193,                0.90342,                0.49894,                0.96419,                0.97758,                0.98113,                0.97993,                0.76508,                0.79822,                0.46123,                0.96233,               9.92e-05,               9.92e-05,               9.92e-05
                    194,                0.91135,                 0.4929,                0.97406,                0.97533,                0.98338,                0.98016,                0.77543,                0.77946,                0.46237,                0.95738,               8.93e-05,               8.93e-05,               8.93e-05
                    195,                0.89143,                0.48423,                0.97451,                0.97453,                0.98424,                0.98013,                0.77695,                  0.786,                0.45679,                 0.9638,               7.94e-05,               7.94e-05,               7.94e-05
                    196,                0.85566,                0.47844,                0.96196,                0.97535,                0.98456,                0.97972,                0.78026,                0.76732,                0.45182,                0.95706,               6.95e-05,               6.95e-05,               6.95e-05
                    197,                0.86592,                0.47653,                0.96754,                0.97591,                0.98456,                0.98011,                0.78273,                 0.7834,                  0.461,                0.95893,               5.96e-05,               5.96e-05,               5.96e-05
                    198,                0.86465,                0.47468,                0.95355,                0.97551,                 0.9837,                0.97992,                0.76704,                0.78416,                0.45175,                0.96193,               4.97e-05,               4.97e-05,               4.97e-05
                    199,                0.85504,                0.47425,                0.95389,                0.97534,                0.98372,                0.98057,                0.78501,                0.77867,                0.45499,                0.95945,               3.98e-05,               3.98e-05,               3.98e-05
                    200,                0.86205,                0.47669,                0.96939,                0.97534,                0.98378,                0.98072,                0.78512,                0.76171,                0.44518,                0.95648,               2.99e-05,               2.99e-05,               2.99e-05
